Zip,NumTotal,NumRetired,NumDisabled,NumWidowerorParent,NumSpouses,NumChildren,BenTotal,BenRetired,BenWidowerorParent,NumSeniors
"78655",435,275,70,40,20,30,430,290,39,290
"78656",320,165,65,40,15,35,302,174,40,200
"78661",100,60,15,15,5,5,96,63,14,70
"78663",150,115,10,5,15,5,179,144,9,115
"78666",6410,3945,1040,610,305,510,6851,4675,653,4415
"78667",415,290,50,20,25,30,467,357,26,305
"78676",3355,2495,290,260,185,125,4166,3241,333,2635
"78070",2830,2015,350,170,115,180,3438,2616,196,1955
"78108",3385,2050,525,215,150,445,3648,2452,246,2105
"78114",3485,2080,620,290,185,310,3475,2235,288,2250
"78115",65,40,10,5,5,5,68,45,5,45
"78121",1765,1070,290,145,90,170,1915,1255,165,1125
"78122",115,70,15,10,10,10,103,71,8,75
"78123",570,360,100,55,25,30,660,452,61,385
"78124",1165,755,170,95,55,90,1255,875,95,795
"78130",10170,6690,1315,980,465,720,11179,7867,1127,7345
"78131",645,345,100,45,25,130,695,429,54,390
"78132",3555,2580,320,255,220,180,4358,3401,300,2670
"78133",4470,3195,570,300,190,215,5253,3979,350,3245
"78140",590,355,100,65,25,45,553,354,62,385
"78143",40,15,5,5,5,10,31,14,5,20
"78147",400,230,65,35,25,45,377,240,33,255
"78154",4580,2880,635,400,295,370,4918,3335,429,3180
"78155",8550,5310,1385,755,440,660,8912,6002,794,5890
"78156",400,245,70,35,15,35,407,274,33,270
"78159",240,140,40,30,15,15,224,142,27,170
"78160",845,515,120,90,45,75,842,565,86,585
"78161",215,115,40,25,10,25,213,127,22,135
"78163",1850,1345,165,115,115,110,2186,1698,132,1380
"78266",1240,905,100,65,75,95,1541,1218,78,930
"78604",20,10,5,0,5,0,22,14,0,15
"78614",105,65,20,10,5,5,110,71,11,70
"78623",330,250,30,20,15,15,393,318,27,255
"78629",2325,1440,355,230,115,185,2311,1538,248,1640
"78632",225,155,25,25,10,10,254,183,30,165
"78638",445,280,70,35,25,35,489,329,42,315
"78670",80,50,10,10,5,5,76,51,11,50
"78959",360,230,55,35,15,25,348,247,32,250
"75020",4985,3070,895,445,185,390,5352,3581,484,3395
"75021",2260,1395,435,200,85,145,2433,1637,212,1495
"75058",445,300,45,50,20,30,522,375,55,330
"75076",2110,1440,315,145,90,120,2532,1844,174,1480
"75090",3885,2315,790,345,120,315,4182,2697,383,2495
"75091",585,325,135,45,25,55,646,411,55,330
"75092",4385,2835,680,365,195,310,5134,3593,428,3100
"75413",95,50,25,5,5,10,99,62,7,55
"75414",615,395,105,45,25,45,690,465,49,415
"75418",2935,1895,520,260,90,170,3184,2197,276,2025
"75438",255,175,35,15,10,20,261,197,14,175
"75439",205,135,25,20,10,15,209,142,23,150
"75443",30,20,5,5,0,0,31,26,2,25
"75446",780,490,125,80,30,55,803,543,78,545
"75447",260,170,45,10,15,20,271,183,10,180
"75449",285,180,50,20,15,20,275,190,17,190
"75452",840,535,120,70,30,85,928,648,76,555
"75459",725,495,105,55,25,45,850,608,69,525
"75475",70,50,10,5,5,0,77,57,2,45
"75476",345,220,50,25,20,30,380,263,27,235
"75479",465,285,85,45,15,35,505,337,47,310
"75488",285,195,35,25,10,20,295,217,30,215
"75489",250,160,35,20,10,25,291,203,20,165
"75490",440,295,60,35,20,30,506,362,44,315
